"Episode","Step","Total Reward","Number of Episodes Solved"
0,999,-36.45461343106733,0
1,999,-65.86891342778718,0
2,999,-80.38936362626325,0
3,755,36.28297212959038,1
4,964,17.25299470286292,2
5,999,-88.89470487359382,2
6,999,-90.38139415741554,2
7,999,-93.79035197207159,2
8,999,-92.96237419244613,2
9,999,-95.7021512025297,2
10,999,-95.81857270981384,2
11,999,-96.70110713837336,2
12,999,-97.65146780676496,2
13,999,-97.28716003489423,2
14,999,-97.48977518230436,2
15,999,-97.98887596418507,2
16,999,-98.21429858961272,2
17,999,-98.78729166587821,2
18,999,-98.69725776158903,2
19,999,-98.51827157870534,2
20,999,-98.31582308807226,2
21,999,-98.89097444964486,2
22,999,-99.51842046559621,2
23,999,-99.36316599465873,2
24,999,-98.38757085498462,2
25,999,-98.92132434173121,2
26,999,-98.54353839508782,2
27,999,-99.11077065202673,2
28,999,-98.66666519745245,2
29,999,-99.2062720567109,2
30,999,-99.19561139033222,2
31,999,-99.36723099083329,2
32,999,-99.15375796538073,2
33,999,-99.3658355134864,2
34,999,-99.07121924273135,2
35,999,-99.21352397031632,2
36,999,-99.42947552607373,2
37,999,-99.38552829661465,2
38,999,-99.48603205941917,2
39,999,-99.29321941190729,2
40,999,-99.58019397944598,2
41,999,-99.3302242407547,2
42,999,-99.6526041676,2
43,999,-99.42233933216059,2
44,999,-99.48161842092092,2
45,999,-99.69174500828528,2
46,999,-99.10698631402492,2
47,999,-99.43274274734729,2
48,999,-99.37132576947778,2
49,999,-99.49965884658604,2
50,999,-99.68976213320137,2
51,999,-99.62644267376025,2
52,999,-99.70158340048954,2
53,999,-99.74234106570809,2
54,999,-99.50298825403013,2
55,999,-99.36141635690011,2
56,999,-99.25926891797288,2
57,999,-99.85384256770926,2
58,999,-99.49370492649476,2
59,999,-99.4045898460944,2
60,999,-99.69032357703551,2
61,999,-99.48265369023294,2
62,999,-99.6532827498843,2
63,999,-99.29034423082348,2
64,999,-99.35927940002301,2
65,999,-99.80005110265198,2
66,999,-99.59568679705707,2
67,999,-99.7896062868226,2
68,999,-99.55279664125271,2
69,999,-99.80840739827114,2
